timestamp_utc	seed_id	semantic_scholar_api_id	relation	offset	limit	status	returned_rows	next	error	request_url
2026-04-28T17:55:24.079186+00:00	bui2026opendev	ARXIV:2603.05344	backward	0	100	ok	0			https://api.semanticscholar.org/graph/prior/paper/ARXIV%3A2603.05344/references?fields=citedPaper.paperId%2Ctitle%2Cyear%2Cauthors%2CexternalIds%2Cvenue%2CpublicationVenue%2Cabstract%2CpublicationDate%2CreferenceCount%2CcitationCount&offset=0&limit=100
2026-04-28T17:55:26.723813+00:00	bui2026opendev	ARXIV:2603.05344	forward	0	100	ok	0			https://api.semanticscholar.org/graph/prior/paper/ARXIV%3A2603.05344/citations?fields=citingPaper.paperId%2Ctitle%2Cyear%2Cauthors%2CexternalIds%2Cvenue%2CpublicationVenue%2Cabstract%2CpublicationDate%2CreferenceCount%2CcitationCount&offset=0&limit=100
2026-04-28T17:55:29.362575+00:00	chen2025sweexp	ARXIV:2507.23361	backward	0	100	ok	77			https://api.semanticscholar.org/graph/prior/paper/ARXIV%3A2507.23361/references?fields=citedPaper.paperId%2Ctitle%2Cyear%2Cauthors%2CexternalIds%2Cvenue%2CpublicationVenue%2Cabstract%2CpublicationDate%2CreferenceCount%2CcitationCount&offset=0&limit=100
2026-04-28T17:55:32.793964+00:00	chen2025sweexp	ARXIV:2507.23361	forward	0	100	ok	34			https://api.semanticscholar.org/graph/prior/paper/ARXIV%3A2507.23361/citations?fields=citingPaper.paperId%2Ctitle%2Cyear%2Cauthors%2CexternalIds%2Cvenue%2CpublicationVenue%2Cabstract%2CpublicationDate%2CreferenceCount%2CcitationCount&offset=0&limit=100
2026-04-28T17:55:35.931146+00:00	deng2026memcoder	ARXIV:2603.13258	backward	0	100	ok	64			https://api.semanticscholar.org/graph/prior/paper/ARXIV%3A2603.13258/references?fields=citedPaper.paperId%2Ctitle%2Cyear%2Cauthors%2CexternalIds%2Cvenue%2CpublicationVenue%2Cabstract%2CpublicationDate%2CreferenceCount%2CcitationCount&offset=0&limit=100
2026-04-28T17:55:39.300143+00:00	deng2026memcoder	ARXIV:2603.13258	forward	0	100	ok	0			https://api.semanticscholar.org/graph/prior/paper/ARXIV%3A2603.13258/citations?fields=citingPaper.paperId%2Ctitle%2Cyear%2Cauthors%2CexternalIds%2Cvenue%2CpublicationVenue%2Cabstract%2CpublicationDate%2CreferenceCount%2CcitationCount&offset=0&limit=100
2026-04-28T17:55:41.931907+00:00	deshpande2025memtrack	ARXIV:2510.01353	backward	0	100	ok	77			https://api.semanticscholar.org/graph/prior/paper/ARXIV%3A2510.01353/references?fields=citedPaper.paperId%2Ctitle%2Cyear%2Cauthors%2CexternalIds%2Cvenue%2CpublicationVenue%2Cabstract%2CpublicationDate%2CreferenceCount%2CcitationCount&offset=0&limit=100
2026-04-28T17:55:45.325301+00:00	deshpande2025memtrack	ARXIV:2510.01353	forward	0	100	ok	6			https://api.semanticscholar.org/graph/prior/paper/ARXIV%3A2510.01353/citations?fields=citingPaper.paperId%2Ctitle%2Cyear%2Cauthors%2CexternalIds%2Cvenue%2CpublicationVenue%2Cabstract%2CpublicationDate%2CreferenceCount%2CcitationCount&offset=0&limit=100
2026-04-28T17:55:48.138969+00:00	dong2026kernelblaster	ARXIV:2602.14293	backward	0	100	ok	33			https://api.semanticscholar.org/graph/prior/paper/ARXIV%3A2602.14293/references?fields=citedPaper.paperId%2Ctitle%2Cyear%2Cauthors%2CexternalIds%2Cvenue%2CpublicationVenue%2Cabstract%2CpublicationDate%2CreferenceCount%2CcitationCount&offset=0&limit=100
2026-04-28T17:55:51.246399+00:00	dong2026kernelblaster	ARXIV:2602.14293	forward	0	100	ok	2			https://api.semanticscholar.org/graph/prior/paper/ARXIV%3A2602.14293/citations?fields=citingPaper.paperId%2Ctitle%2Cyear%2Cauthors%2CexternalIds%2Cvenue%2CpublicationVenue%2Cabstract%2CpublicationDate%2CreferenceCount%2CcitationCount&offset=0&limit=100
